video_path,frame_idx
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,1
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,6
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,14
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,24
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,33
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,40
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,54
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,70
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,78
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,96
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,105
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,109
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,117
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,120
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,153
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,215
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,220
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,223
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,249
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,281
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,284
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,299
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,305
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,413
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,419
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,422
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,452
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,468
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,474
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,479
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,487
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,507
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,513
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,518
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,523
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,529
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,541
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,545
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,548
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,551
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,555
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,558
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,566
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,569
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,592
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,595
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,599
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,603
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,607
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,611
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,613
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,615
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,639
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,656
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,659
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,672
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,676
/mnt/home/atanelus/ceph/speaker_ssl/isolate_mother/data/cam_b.avi,678
